,Name,Compl_Name,place_id,types,International Phone Number,Website,rating,user_ratings_total,vicinity,location.lat,location.lng,Google maps URL
239,Farmácia Alto de Algés,,ChIJew1SQoDMHg0RGbUc9LMQ65c,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 1453,https://pt-pt.facebook.com/Farm%C3%A1cia-Alto-de-Alg%C3%A9s-256410997796397/,4.8,22.0,"Rua da Eira 26A, Algés",38.70778000000001,-9.2327176,https://maps.google.com/?cid=10946861684334834969
240,GlaxoSmithKline, Produtos Farmacêuticos Lda.,ChIJKVXh54XMHg0ReYWq0wMWVBM,"['health', 'point_of_interest', 'establishment']",+351 21 412 9500,https://pt.gsk.com/,4.2,9.0,"R. Dr. António Loureiro Borges 3, Algés",38.7153536,-9.2281924,https://maps.google.com/?cid=1392762390456206713
241,Farmácia Alto dos Moinhos,,ChIJlUrwHigzGQ0RqqxG-L88ctQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 726 4450,https://farmaciaaltodosmoinhos.com/,4.9,997.0,"R. João de Freitas Branco 15A B, Lisboa",38.7511883,-9.1804561,https://maps.google.com/?cid=15308364878587538602
242,Farmácia Sousa,,ChIJZ1ZY-yszGQ0RYgwqOWLu0s0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 255 5006,https://farma-sousamarques.negocio.site/?utm_source=gmb&utm_medium=referral,4.3,52.0,"Estr. de Benfica 429A, Lisboa",38.7467113,-9.1848784,https://maps.google.com/?cid=1586256082974426838
243,Pharmacy Benfiluz,,ChIJfasXzSozGQ0RIrZIZrMAggo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 714 1206,https://pt-pt.facebook.com/Benfiluz/,4.4,12.0,"Estr. de Benfica 444, Lisboa",38.7491315,-9.1900198,https://maps.google.com/?cid=757168457866851874
244,Pharmacy Uruguai,,ChIJ8YVquSnNHg0Roh9leXfhkIg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 760 2532,,4.3,165.0,"Av. do Uruguai 18A, Lisboa",38.751737,-9.197151000000002,https://maps.google.com/?cid=1144083633910567162
245,Farmácia Santa Cruz,,ChIJt3_ATtbMHg0RBSA0AZugJTw,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 419 8341,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=17370,3.6,9.0,"Av. Gomes Pereira 34B, Lisboa",38.748869,-9.197807,https://maps.google.com/?cid=6002221478190041861
246,Farmácia Progresso Benfica (Farmácias Progresso),,ChIJY43uXiDNHg0RRc3o3cej9-k,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 760 2226,http://www.farmaciasprogresso.pt/,4.7,21.0,"Estr. A-da-Maia 64 1500, Lisboa",38.7508791,-9.2095228,https://maps.google.com/?cid=16859123808901582149
247,Farmácia Marques,,ChIJ46ozBijNHg0RJeoxO16AgNI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 952 1927,,4.6,11.0,"Estr. de Benfica 648, Lisboa",38.7506506,-9.2008733,https://maps.google.com/?cid=7210973584079327998
248,Farmácia Labor,,ChIJIaf4-NnMHg0R_IggbMYBouo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 3428,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=07935,5.0,3.0,"R. da Venezuela 37A b, Lisboa",38.7449488,-9.2014553,https://maps.google.com/?cid=16907077902831487228
249,Farmácia Rebocho,,ChIJS-POVSszGQ0RL2HIVmtAdEI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 771 0020,https://www.farmaciasdeservico.net/f/19810/Farmacia_Rebocho/,4.5,4.0,"R. Ten-Cel. Ribeiro dos Reis 12 B, Lisboa",38.745996,-9.189597,https://maps.google.com/?cid=4788523133563330863
250,Farmácia Vaz Martins,,ChIJf2UUUNzMHg0RAVrQMRAKRgI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 471 0660,,4.1,15.0,"Praceta Fernando Pessoa 5, Amadora",38.7422295,-9.2087834,https://maps.google.com/?cid=163829501117094401
251,Farmacia Lemos,,ChIJvyXa_B_NHg0RX88OVpBAtz4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 474 8121,https://www.farmaciasdeservico.info/lisboa/amadora/farmacia-lemos_12572/,4.5,2.0,"R. de Goa 19, Damaia",38.7492984,-9.2127008,https://maps.google.com/?cid=4519151739752861535
252,Farmácia Boavista,,ChIJ3VcCtsXMHg0Rdg3zg8XFXco,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 762 2572,,4.5,6.0,"R. das Magnólias loja 1 2, Lisboa",38.7348156,-9.2043772,https://maps.google.com/?cid=14582028620608507254
253,Farmácia Lavinha,,ChIJrYiTM9_MHg0RuQ1bF5kueQ0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 760 8242,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=17167,4.8,11.0,"R. Eng. Paulo Barros 28A, Lisboa",38.7479019,-9.2067662,https://maps.google.com/?cid=970858429731769785
254,Farmácia União , Benfica,ChIJY4X9FKbNHg0RngleczjzjGo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 711 1072,http://www.afarmaciaonline.pt/,5.0,1.0,"Estr. de Benfica 592, Lisboa",38.7508185,-9.1995674,https://maps.google.com/?cid=7677778888539113886
255,Farmácia Gaspar Pote Alfragide,,ChIJa3zoycLMHg0RlVXnaYbPEtQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 917 070 701,,4.0,12.0,"Estrada do Zambujal 76A, Amadora",38.738462,-9.2106032,https://maps.google.com/?cid=15281504661830849941
256,Farmacia,,ChIJN2oMuSnNHg0R-wNUnnv1jII,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 943 1423,https://www.facebook.com/FarmaciaPauladeCampos,0.0,0.0,"Av. do Uruguai 18B, Lisboa",38.7518132,-9.1971452,https://maps.google.com/?cid=7599681087800305936
257,Farmácia Benfica,,ChIJN4oInG3NHg0R-tCT4ACa4A8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 760 2226,http://www.farmaciasprogresso.pt/,0.0,0.0,"Estr. de Benfica 678E, Lisboa",38.7520324,-9.2049408,https://maps.google.com/?cid=16859123808901582149
258,Farmácia dos Lusíadas,,ChIJEy-IaiYzGQ0RIyW-MWmP_YA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 814 3381,https://www.farmaciadoslusiadas.pt/,4.8,14.0,"R. Mario de Azevedo Gomes 1A, Lisboa",38.7479617,-9.1773271,https://maps.google.com/?cid=9294742887931454755
259,Wells Saúde e Ótica,,ChIJVc8evSfNHg0Rq29-5uSzQYY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 935 045 670,https://wells.pt/,3.5,12.0,"Estr. de Benfica N. 666A, Lisboa",38.7513434,-9.2029879,https://maps.google.com/?cid=12603272546939820640
260,Farmácia dos Lusiadas , Farmacia Oriente,ChIJZ7pMPR_NHg0RC8AlDLpUBYc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 814 3381,,0.0,0.0,"Urbanização Alto Dos Moinhos, 1, Rua C A, Lisboa",38.7529092,-9.2142015,https://maps.google.com/?cid=9729275728048275467
261,Farmácia Oliveira,,ChIJQR7J92szGQ0REHizPH9UA3w,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 727 5715,,4.7,6.0,"R. de Campolide 54A, Lisboa",38.7279217,-9.1622932,https://maps.google.com/?cid=10927450873524832169
262,Farmácia Ronil,,ChIJvdeosG0zGQ0RGFDDIQDFjuM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 388 3438,https://www.farmaciasdeservico.net/f/752/Farmacia_Ronil/,3.4,9.0,"R. Rodrigo da Fonseca 155, Lisboa",38.7290577,-9.158785,https://maps.google.com/?cid=16397259897659674648
263,Farmácia Mota Capitão Unipessoal, Lda,ChIJ5Ul4j3AzGQ0R29G3PFveq2o,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 418 9799,,5.0,1.0,"R. Rodrigo da Fonseca 62, Lisboa",38.7232789,-9.1533729,https://maps.google.com/?cid=7686481672479953371
264,Farmacia,,ChIJqyjK92szGQ0Rd0JzUZPKL6o,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 943 1423,https://www.facebook.com/FarmaciaPauladeCampos,5.0,1.0,"R. de Campolide 60A, Lisboa",38.7279223,-9.1622995,https://maps.google.com/?cid=7599681087800305936
265,Farmácia Mustela fontes,,ChIJUVFsMdozGQ0Rz2UMBewzpgw,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,,0.0,0.0,"Av. Fontes Pereira de Melo, Lisboa",38.72903050000001,-9.1479877,https://maps.google.com/?cid=911473063379101135
266,Ivone,,ChIJ_dWWb28zGQ0RgRufhBRBu2A,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 494 0048,,4.0,11.0,"R. Silva Carvalho 232c, Lisboa",38.7226705,-9.1601705,https://maps.google.com/?cid=12393071907540531941
267,Farmácia Carnide,,ChIJFe_CIS7NHg0RP3t6-q6wNuE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 797 8953,https://www.farmaciasdeservico.net/f/10529/Farmacia_Carnide/,4.5,19.0,"R. José Farinha 30B, Lisboa",38.7605456,-9.196751,https://maps.google.com/?cid=16228352572849290047
268,Farmácia Colombo,,ChIJr6p64dQyGQ0RMHYm4YrJ3f0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 715 1301,,3.5,33.0,"Avenida Lusíada, C. C. Colombo - Loja 0.077/0.081, Lisboa",38.7546601,-9.1885397,https://maps.google.com/?cid=1891947158103407612
269,Pharmacy Pontinha,,ChIJydG8LTfNHg0R2mMCcIpLtao,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 478 7740,,4.6,34.0,"R. de Santo Eloy 1A, Pontinha",38.765812,-9.198882,https://maps.google.com/?cid=8849199476553686513
270,Farmácia Lisboa,,ChIJDdEmPsUyGQ0RbwtNSC0MW-4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 715 0178,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=14311,4.4,39.0,"Azinhaga da Torre do Fato 29, Lisboa",38.763465,-9.1772227,https://maps.google.com/?cid=17175334992533588847
271,Farmácia Eusébio,,ChIJ4VuhGSnNHg0RsBj3Iby9kiA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 711 0410,https://www.facebook.com/farmacia.eusebio/,3.5,28.0,"R. República da Bolívia 69 A C, Lisboa",38.7540322,-9.1976848,https://maps.google.com/?cid=2347146971534792880
272,FARMÁCIA GUIMARÃES MORAIS,,ChIJx-8TwdIyGQ0RAT-QEjaj6xM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 714 0081,https://www.farmaciasdeservico.net/f/19194/Farmacia_Guimaraes_Morais/,0.0,0.0,"R. Neves Costa 33 35, Lisboa",38.759887,-9.188756,https://maps.google.com/?cid=1435420358882639617
273,Farmácia Maia Palma,,ChIJe5a6HM8yGQ0RwH5pFAHeicY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 712 2401,http://www.farmaciamaiapalma.pt/,4.9,14.0,"Largo José João Farinha Júnior 6A, Lisboa",38.765326,-9.181217,https://maps.google.com/?cid=14306209787537882816
274,Farmácia Geny,,ChIJiXvMUNAyGQ0RVexHewhc07g,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 934 491 215,https://farmaciageny.negocio.site/?utm_source=gmb&utm_medium=referral,4.8,5.0,"R. Fernando Namora 44C, Lisboa",38.7602695,-9.1789454,https://maps.google.com/?cid=13318089714562493525
275,Farmácia Findor,,ChIJq93NliczGQ0R_DuQlOqLQRo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 715 1301,,4.0,3.0,"Av. Lusíada, Lisboa",38.7539984,-9.1883253,https://maps.google.com/?cid=1891947158103407612
276,Farmácia J. Ribeiro,,ChIJ16yN99kyGQ0RybS88QWzhMU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 722 3523,http://www.facebook.com/farmaciajribeiro/,4.4,20.0,"Estrada da Luz 199 A, Lisboa",38.7569063,-9.1781743,https://maps.google.com/?cid=14232697560509494473
277,Farmácia Cruz Correia,,ChIJ4Qmc994yGQ0RXO699YFyDUQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 479 2453,https://www.farmaciasdeservico.net/f/17159/Farmacia_Cruz_Correia/,3.8,6.0,"R. de Santo Eloy 41 A, Pontinha",38.7674783,-9.2027458,https://maps.google.com/?cid=4903701471775551068
278,Farmácia Leitão Ribeiro,,ChIJl3pwjDDNHg0RyNVzZK6jYbM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 478 4094,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=20400,4.0,10.0,"Av. 25 de Abril 23A, Pontinha",38.7634678,-9.1998123,https://maps.google.com/?cid=12925792374934984136
279,Farmácia Simões,,ChIJD37wRCTNHg0R9eH_NMTTAoM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 958 1796,https://www.farmaciasdeservico.net/f/21148/Farmacia_Simoes_Dias/,4.7,17.0,"Calçada do Tojal 102, Lisboa",38.75685259999999,-9.2045581,https://maps.google.com/?cid=15381904229501696378
280,Farmácia do Altinho,,ChIJrzirFTrNHg0R_UsVg67hcDI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 479 1359,http://www.farmaciadoaltinho.pt/,4.1,29.0,"AZ dos Besouros 1, Pontinha",38.764515,-9.2022107,https://maps.google.com/?cid=3634653038927760381
281,Farmácia Padre Cruz,,ChIJOWZLE3o0GQ0RvugtIdoKuqc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 712 1520,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=15563,4.0,8.0,"R. Prof. Francisco Pereira de Moura Lote 138, Lisboa",38.7683676,-9.1907595,https://maps.google.com/?cid=12085984481977952446
282,Farmácia Gouveia,,ChIJQf5QvSbNHg0Rdorbj3NW14Y,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 760 7500,http://www.facebook.com/farmaciagouveia,4.6,18.0,"R. Augusto Costa n6 Loja A, Lisboa",38.7541587,-9.205133,https://maps.google.com/?cid=9716329775409891958
283,Farmácia Quinta Da Luz,,ChIJY95c7NMyGQ0RpvIPhayr6JQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 585 7508,https://www.farmaciasdeservico.net/f/10375/Farmacia_Quinta_da_Luz/,4.5,14.0,"Av. do Colégio Militar 153B, Lisboa",38.75732130000001,-9.1857631,https://maps.google.com/?cid=10730014869665346214
284,Farmácia Vidal Reis,,ChIJd_2qJjvNHg0RU59OS_iywSA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 474 3552,https://www.farmaciasdeservico.net/f/21865/Farmacia_Vidal_Reis/,4.2,19.0,"R. Damião de Góis 3B, Lisboa",38.7611237,-9.2041927,https://maps.google.com/?cid=2360364459203927891
285,Pharmacy Serra da Luz,,ChIJ85B3tLQyGQ0RKFkEqO2if-4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 479 5714,https://www.farmaciasdeservico.net/f/23353/Farmacia_Serra_da_Luz/,3.7,19.0,"R. Dom José I 2A, Pontinha",38.7768758,-9.19233,https://maps.google.com/?cid=17185633844678908200
286,Assunta Rosa, Exploração De Farmácia ,ChIJW_U5RSTNHg0RDko-cF56a18,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 762 2818,,2.0,1.0,"Calçada do Tojal 102, Lisboa",38.7568518,-9.2045512,https://maps.google.com/?cid=6875723802139838990
287,Farmácias GAP,,ChIJzwP8sYI0GQ0RRM5MJaZ4820,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 711 1359,http://farmaciasgap.pt/,2.6,5.0,"Av. do Uruguai n 18 a, Lisboa",38.7517374,-9.197151000000002,https://maps.google.com/?cid=7922808824460529220
288,Farmácia Lisboa , Caldeira & Cabral,ChIJhT82JNsyGQ0R5GxCeI5qE3E,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 716 3393,,5.0,2.0,"R. Prof. Simões Raposo 1, Lisboa",38.76158849999999,-9.1756347,https://maps.google.com/?cid=8147973310978878692
289,Farmácia Leitão Ribeiro,,ChIJQzllEbXNHg0RFrFCN44G3W4,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 478 4094,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=20400,0.0,0.0,"Av. 25 de Abril 23A, Pontinha",38.7634678,-9.1998123,https://maps.google.com/?cid=12925792374934984136
290,Farmabridal, Lda.,ChIJFe_CIS7NHg0RNq3Va6ZA618,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 793 6124,,0.0,0.0,"R. José Farinha 30B, Lisboa",38.7605122,-9.1968781,https://maps.google.com/?cid=6911689136648072502
291,Farmácia Alfornelos,,ChIJJYXcnTvNHg0R_cJ1jZGnCbI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 476 7690,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=18570,3.9,8.0,"Av. Ruy Luís Gomes 5B, Amadora",38.7626814,-9.2055704,https://maps.google.com/?cid=12828969257126970109
292,Well´s,,ChIJVcM3iPAzGQ0R2LgLevI531Q,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 912 229 584,http://www.wells.pt/,0.0,0.0,"Rua Prof Fernando Da Fonseca Piso 0 Loja W, Lisboa",38.76457740000001,-9.1747818,https://maps.google.com/?cid=3830867459692184668
293,Well's,,ChIJQ3GxNSvNHg0Rv8-3VK3Jc9A,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 912 229 584,https://m.facebook.com/MorePharma/,3.5,44.0,"Av. Lusíada C.C, Colombo, Lisboa",38.7543847,-9.1902079,https://maps.google.com/?cid=11749750858707462484
294,Well´s,,ChIJB3VcKdozGQ0RLXK0O_H7Fz8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 912 229 584,http://www.wells.pt/,3.5,38.0,"Av. das Nações Unidas, Lisboa",38.7642341,-9.1752121,https://maps.google.com/?cid=3830867459692184668
295,Farmácia Tanara,,ChIJSSzJhk3NHg0RpHS-UgBSuC8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 934 1986,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=16438,3.1,28.0,"Odivelas Parque, Casal do Troca, Estr. da Paiã Loja 1.048, Odivelas",38.781417,-9.1928943,https://maps.google.com/?cid=3438588476839064740
296,Farmácia Carnaxide,,ChIJaVaw22HMHg0RtN2O6dsxcIs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 424 1100,http://www.farmaciacarnaxide.pt/,4.2,64.0,"Av. do Forte 10C, Carnaxide",38.7231295,-9.234716,https://maps.google.com/?cid=6283975596071212499
297,Farmácia Alegro,,ChIJcSZnUpPMHg0RdWx4aPD7lEE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 415 9898,https://alegro.pt/alegro-alfragide/lojas/farmacia-alegro,4.0,18.0,"Av. dos Cavaleiros 60, Carnaxide",38.727745,-9.2181696,https://maps.google.com/?cid=4725678918981938293
298,Farmácia Remédios,,ChIJASR_Yu7MHg0RuilUM80KXow,"['pharmacy', 'food', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 471 0510,https://www.grupoamorimsaude.com/,4.7,58.0,"Av. Ivens 1A, Amadora",38.7337724,-9.2203967,https://maps.google.com/?cid=10114533689566439866
299,Farmacia Nova de Carnaxide,,ChIJiRelkl_MHg0RR2HHDHxWNHg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 410 5482,https://www.facebook.com/NOVADECARNAXIDE/,4.7,12.0,"R. Q.ta da Nora 5 Lj. B e C, Carnaxide",38.7292797,-9.2366156,https://maps.google.com/?cid=8661643074130633031
300,Farmácia Melo Almeida,,ChIJy22Kqn3MHg0RMtckTk7xWks,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 419 1697,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=21733,3.7,14.0,"R. Diogo do Couto 15C, Linda-a-Velha",38.7134377,-9.236773,https://maps.google.com/?cid=5429917619369334578
301,Farmácia Central Park,,ChIJx8R0P2PMHg0RdIa38GupbYs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 419 4527,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=03670,3.2,35.0,"Central Park, Av. 25 de Abril de 1974 4 Loja 1.31, Linda-a-Velha",38.7171114,-9.238189900000002,https://maps.google.com/?cid=10046872624798598772
302,Farmacia,,ChIJDY7qil_MHg0RN6C0y40nQpY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 943 1423,https://www.facebook.com/FarmaciaPauladeCampos,0.0,0.0,"R. Manuel Teixeira Gomes 57, Carnaxide",38.7281084,-9.2344006,https://maps.google.com/?cid=7599681087800305936
303,Wells,,ChIJpVUdxGHMHg0R9M7DF2qVork,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 417 9810,http://www.wells.pt/,4.2,5.0,"Av. do Forte Nº 5, Carnaxide",38.7226217,-9.2358338,https://maps.google.com/?cid=4671187320920934522
304,Well´s,,ChIJ_wNP5f7NHg0Ri6v43U-LpFk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 912 229 584,http://www.wells.pt/,0.0,0.0,"Estrada Cabos D'Ávila, Estrada Nacional Nº 249 - 1, Amadora",38.7337764,-9.2244274,https://maps.google.com/?cid=3830867459692184668
305,Farmácia Central de Carnaxide,,ChIJN0_zqWDMHg0R01UMvYIqNVc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 424 1100,http://www.farmaciacarnaxide.pt/,4.4,32.0,"Av. Portugal 16, Carnaxide",38.72616,-9.2393888,https://maps.google.com/?cid=6283975596071212499
306,Pharmacy Quinta Grande,,ChIJVUyvWeXMHg0RydrXODWVcbo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 471 5597,https://pt-pt.facebook.com/farmaciaquinta,4.5,37.0,"Praceta Comércio 17, Alfragide",38.7383667,-9.2223538,https://maps.google.com/?cid=13434683219242375881
307,Farmácia Planalto,,ChIJz9rsEuoyGQ0RjupPohqlFck,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 346 2350,,4.5,10.0,"R. Frederico George 31C, Lisboa",38.7694898,-9.1670021,https://maps.google.com/?cid=14489668909945318030
308,Farmácia Alto Lumiar,,ChIJ2WuCBfMyGQ0RfZQQJWUaj_A,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 756 8267,https://testescovid.simplybook.it/,4.6,25.0,"Alameda da Música 7A, Lisboa",38.7748905,-9.15184,https://maps.google.com/?cid=17334102512488191101
309,Farmácia Alameda,,ChIJJyJnTuwyGQ0RXzpheSMDoCg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 759 0942,https://www.farmaciasdeservico.net/f/12297/Farmacia_Alameda/,4.5,38.0,"Alameda das Linhas de Torres 201, Lisboa",38.77013549999999,-9.1599254,https://maps.google.com/?cid=2927343208685976159
310,Farmácia São Tomé,,ChIJQapHoZYyGQ0RWkdSPxLmUJA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 759 0704,https://farmaciasaotome.com/,4.2,10.0,"Estr. Desvio 12, Lisboa",38.77919929999999,-9.1632395,https://maps.google.com/?cid=10399064505644631898
311,Farmácia Central do Lumiar,,ChIJFT_twOwyGQ0R9wIhJ6Cn68Q,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 758 8063,,4.2,16.0,"Alameda das Linhas de Torres 254B, Lisboa",38.7729328,-9.1607557,https://maps.google.com/?cid=14189619357253960439
312,Farmácia do Lago,,ChIJp3L5OKszGQ0RdQGjICbDUIk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 844 4030,https://farmaciadolago-altadelisboa-lumiar.negocio.site/?utm_source=gmb&utm_medium=referral,4.4,41.0,"Av. David Mourão-Ferreira 61A, Lisboa",38.7770711,-9.1553664,https://maps.google.com/?cid=9894622949856706933
313,Farmácia do Largo,,ChIJx6u68GIyGQ0RYQp_UlGjmq8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 758 7542,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=25330,4.3,13.0,"Av. Sérgio Vieira de Mello 17B, Lisboa",38.7809487,-9.1500652,https://maps.google.com/?cid=12653605672722565729
314,Farmácia Santos,,ChIJ7QGPDZEyGQ0RNDW8xRGd2EY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,http://www.freemacia.pt/,3.9,12.0,"Alameda António Sérgio 8, Lisboa",38.7807292,-9.1601139,https://maps.google.com/?cid=11314540287816276578
315,Farmácia Patuleia,,ChIJNUgit-wyGQ0RYSrG4gLTSdc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 752 4103,https://www.facebook.com/FarmaciaPatuleia,4.1,20.0,"Alameda das Linhas de Torres 262, Lisboa",38.7734391,-9.161105400000002,https://maps.google.com/?cid=15513162400802417249
316,Farmácia Nicolau,,ChIJg0aHHZcyGQ0RTBZt2Np-Pxo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 758 8727,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=21652,4.6,10.0,"Calçada de Carriche 4 Loja Esq, Lisboa",38.7813553,-9.1640639,https://maps.google.com/?cid=1891369846917895756
317,Farmácia Alto da Eira, Unipessoal,ChIJuZYgI_MyGQ0RhTPlkdYD4nc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 959 3137,,0.0,0.0,"R. Arminda Correia 2, Lisboa",38.773434,-9.1532973,https://maps.google.com/?cid=8638471255355634565
318,Rede Claro ,Pharmacy Network,ChIJGxz1s-syGQ0R8lOYoH4G1-E,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 012 1170,http://www.redeclaro.pt/,0.0,0.0,"R. Frederico George 39 4ºD, Lisboa",38.7701072,-9.164722700000002,https://maps.google.com/?cid=16273482919456560114
319,Well´s,,ChIJrTe1q1IzGQ0RBBKkySTq6XA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 013 1265,https://www.continente.pt/stores/wells/pt-pt/public/Pages/homepage.aspx,4.5,2.0,"Av. David Mourão Ferreira Malha 34, Lisboa",38.77497839999999,-9.1558103,https://maps.google.com/?cid=3101049849887154462
320,Farmácia Exposul,,ChIJM1dtiIExGQ0RadziKnzlTI8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 896 7033,https://farmaciaexposul.pt/,4.1,74.0,"Largo dos Arautos 5 A, Lisboa",38.7601967,-9.0957857,https://maps.google.com/?cid=10325880367111920745
